FECHA 2019-01-11 12:29:01.367000 | PLC1: 0.0000 | BR20: 0.5180 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.8240
FECHA 2019-01-11 12:29:02.292000 | PLC1: 0.0000 | BR20: 0.5280 | PLC2: 0.0000 | Mqtt: 0.0090 | TOTAL: 0.8230
FECHA 2019-01-11 12:29:03.217000 | PLC1: 0.0000 | BR20: 0.5530 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.8720
FECHA 2019-01-11 12:29:04.191000 | PLC1: 0.0000 | BR20: 0.4970 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.7880
FECHA 2019-01-11 12:29:05.081000 | PLC1: 0.0000 | BR20: 0.5510 | PLC2: 0.0000 | Mqtt: 0.0120 | TOTAL: 0.8810
FECHA 2019-01-11 12:29:06.063000 | PLC1: 0.0000 | BR20: 0.4990 | PLC2: 0.0000 | Mqtt: 0.0050 | TOTAL: 0.7930
FECHA 2019-01-11 12:29:06.958000 | PLC1: 0.0000 | BR20: 0.5030 | PLC2: 0.0000 | Mqtt: 0.0140 | TOTAL: 0.8400
FECHA 2019-01-11 12:29:07.900000 | PLC1: 0.0000 | BR20: 0.5180 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.8360
FECHA 2019-01-11 12:29:08.838000 | PLC1: 0.0000 | BR20: 0.5160 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.8530
FECHA 2019-01-11 12:29:09.793000 | PLC1: 0.0000 | BR20: 0.5240 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 0.9190
FECHA 2019-01-11 12:29:10.812000 | PLC1: 0.0000 | BR20: 0.5380 | PLC2: 0.0000 | Mqtt: 0.0070 | TOTAL: 0.8460
FECHA 2019-01-11 12:29:11.760000 | PLC1: 0.0000 | BR20: 0.5240 | PLC2: 0.0000 | Mqtt: 0.0080 | TOTAL: 0.8140
FECHA 2019-01-11 12:29:12.676000 | PLC1: 0.0000 | BR20: 0.5560 | PLC2: 0.0000 | Mqtt: 0.0180 | TOTAL: 0.8700
FECHA 2019-01-11 12:29:13.648000 | PLC1: 0.0000 | BR20: 0.5180 | PLC2: 0.0000 | Mqtt: 0.0210 | TOTAL: 0.8230
FECHA 2019-01-11 12:29:14.572000 | PLC1: 0.0000 | BR20: 0.6430 | PLC2: 0.0000 | Mqtt: 0.0060 | TOTAL: 1.0400
FECHA 2019-01-11 12:29:15.714000 | PLC1: 0.0000 | BR20: 0.4960 | PLC2: 0.0000 | Mqtt: 0.0140 | TOTAL: 0.9610
FECHA 2019-01-11 12:29:16.777000 | PLC1: 0.0000 | BR20: 0.5400 | PLC2: 0.0000 | Mqtt: 0.0100 | TOTAL: 1.0730
